birthdate,playerjerseyname,def,longshots,volleys,contractvaliduntil,balance,shotpower,defensiveawareness,height,longpassing,standingtackle,crossing,nationality,status,gender,curve,slidingtackle,gkreflexes,finishing,surname,lastnameid,leaguename,aggression,gkpositioning,sprintspeed,headingaccuracy,fullNameForSearch,reactions,ranking,overall_rating,phy,penalties,strength,skillmoves,stamina,weakfootabilitytypecode,ballcontrol,gkhandling,acceleration,pac,teamid,hasphoto,dri,potential,pas,weight,preferredfoot,freekickaccuracy,vision,leagueid,sho,agility,firstname,playerjerseynameid,composure,jumping,gkkicking,preferredposition1label,defensiveworkrate,dribbling,preferredposition1,positioning,attackingworkrate,preferredposition3,iteration,preferredposition2,preferredposition2label,preferredposition4,gkdiving,firstnameid,interceptions,shortpassing,teamname,primaryKey
7/4/1991 0:00,Paredes,90,55,60,2023,65,60,93,177,62,87,59,45,published,1,69,87,16,51,Paredes Hernandez,26348,International Women,87,14,75,88,Irene Paredes Hernandez,92,14,88,84,70,82,2,85,3,85,12,75,75,113012,True,70,88,68,62,1,74,51,2136,54,68,Irene,26346,75,79,13,CB,2,57,5,39,0,-1,fifa-23-womens-sep30-2,-1,,-1,15,15175,92,84,Spain Women,227190
5/9/1990 0:00,J. Hermoso,47,87,80,2022,64,87,43,174,82,42,72,45,published,1,74,45,14,93,Hermoso Fuentes,14081,International Women,54,13,78,78,Jennifer Hermoso Fuentes,93,15,88,71,90,76,4,75,4,90,13,77,78,113012,True,87,88,82,59,2,80,81,2136,90,75,Jennifer,15474,91,72,16,ST,0,89,25,96,0,14,fifa-23-womens-sep30-2,21,SS,-1,13,16095,45,91,Spain Women,227192
4/6/1991 0:00,Popp,55,87,89,2025,70,89,45,174,67,52,74,21,published,1,73,48,14,89,Popp,27374,International Women,84,7,79,92,Alexandra Popp,89,16,88,82,86,82,3,80,5,86,14,80,79,113004,True,83,88,78,65,2,73,79,2136,89,71,Alexandra,27374,81,89,13,ST,2,84,25,91,2,-1,fifa-23-womens-sep30-2,16,LM,-1,12,1385,59,87,Germany Women,226302
11/4/1992 0:00,Panos,46,17,19,2027,70,65,22,169,18,18,16,45,published,1,22,14,91,11,Panos Garcia,26632,International Women,19,87,50,20,Sandra Panos Garcia,84,17,88,87,27,64,1,45,3,20,84,44,87,113012,True,91,88,87,65,1,25,34,2136,84,54,Sandra,26631,56,72,87,GK,0,11,0,14,0,-1,fifa-23-womens-sep30-2,-1,,-1,87,29997,19,23,Spain Women,227776
9/28/1989 0:00,Henry,86,87,64,2023,61,90,89,171,85,89,63,18,published,1,68,84,7,78,Henry,14041,France Division 1 Feminine (1),90,14,69,72,Amandine Henry,91,18,88,86,75,85,4,84,3,84,13,75,72,116033,True,78,88,79,64,1,67,81,2218,81,68,Amandine,14041,83,84,15,CDM,2,77,10,68,2,-1,fifa-23-womens-sep30-2,14,CM,-1,11,1665,87,88,Olympique Lyonnais,227318
6/29/1990 0:00,Little,65,84,82,2023,88,85,38,162,81,79,84,42,published,1,77,77,6,78,Little,20170,England Barclays WSL (1),65,10,77,56,Kim Little,89,19,88,67,80,53,4,94,4,92,5,82,79,116009,True,90,88,85,57,1,60,88,2216,82,85,Kim,20170,85,75,6,CM,2,90,14,91,2,10,fifa-23-womens-sep30-2,18,CAM,-1,12,18088,84,89,Arsenal,245872
8/15/1994 0:00,Magull,59,79,76,2024,89,70,45,166,85,66,79,21,published,1,78,48,15,84,Magull,21284,International Women,65,7,84,60,Lina Magull,89,20,87,67,76,60,5,85,3,93,13,88,86,113004,True,89,87,87,54,1,78,90,2136,79,92,Lina,21284,75,64,15,CM,0,88,14,85,2,-1,fifa-23-womens-sep30-2,18,CAM,-1,8,20077,76,93,Germany Women,233837
8/7/2000 0:00,Hemp,60,71,69,2024,90,83,56,164,76,58,94,14,published,1,86,50,8,85,Hemp,13993,England Barclays WSL (1),59,12,92,69,Lauren Hemp,88,21,87,68,68,60,4,88,3,85,6,92,92,116017,True,88,93,85,59,2,81,84,2216,80,91,Lauren,13993,71,77,11,LW,2,92,27,83,2,-1,fifa-23-womens-sep30-2,-1,,-1,7,19438,71,85,Manchester City,257008
7/2/1997 0:00,Geyoro,83,71,51,2024,79,69,81,166,89,90,69,18,published,1,68,83,11,73,Geyoro,12214,France Division 1 Feminine (1),71,14,74,64,Grace Geyoro,88,22,87,78,52,75,3,93,3,88,16,82,78,116034,True,83,91,81,60,1,48,85,2218,70,73,Grace,12214,79,58,16,CM,2,82,14,82,2,-1,fifa-23-womens-sep30-2,10,CDM,-1,13,12722,87,89,Paris Saint-Germain,237197
6/11/1995 0:00,Lawrence,84,76,66,2023,87,79,84,164,81,87,86,70,published,1,78,83,14,62,Lawrence,19480,France Division 1 Feminine (1),80,9,88,73,Ashley Lawrence,87,23,87,78,75,72,3,88,4,85,10,88,88,116034,True,83,88,83,60,1,70,82,2218,70,85,Ashley,19480,83,77,11,RB,0,81,3,73,2,-1,fifa-23-womens-sep30-2,-1,,-1,14,2526,84,86,Paris Saint-Germain,227392
8/21/1993 0:00,Bright,87,46,35,2026,37,63,90,178,89,85,50,14,published,1,51,82,16,45,Bright,5002,England Barclays WSL (1),91,8,65,89,Millie Bright,89,24,87,88,59,92,2,78,4,83,12,51,59,116010,True,65,88,71,76,1,60,59,2216,49,34,Millie,5002,86,90,12,CB,2,59,5,38,0,-1,fifa-23-womens-sep30-2,-1,,-1,11,23157,87,86,Chelsea,238257
12/16/1992 0:00,Martens,44,87,78,2025,74,84,47,170,80,39,89,34,published,1,90,34,16,88,Martens,21991,France Division 1 Feminine (1),66,16,82,57,Lieke Martens,86,25,87,74,79,77,5,74,4,90,9,80,81,116034,True,89,87,86,66,1,80,85,2218,86,86,Lieke,21991,87,69,13,LW,1,91,27,87,0,-1,fifa-23-womens-sep30-2,25,ST,-1,7,20025,45,87,Paris Saint-Germain,233748
2/9/1991 0:00,Schult,38,11,13,2027,40,62,17,180,24,10,11,21,published,1,14,11,89,11,Schult,30439,International Women,35,90,42,11,Almuth Schult,80,26,87,90,20,78,1,30,2,23,84,35,87,113004,True,89,87,82,71,1,25,34,2136,84,35,Almuth,30439,45,61,82,GK,0,9,0,13,0,-1,fifa-23-womens-sep30-2,-1,,-1,87,1553,13,25,Germany Women,226303
7/26/1994 0:00,Reiten,65,79,42,2025,89,81,60,167,78,67,94,36,published,1,74,66,16,82,Reiten,28499,England Barclays WSL (1),58,11,91,60,Guro Reiten,89,27,86,63,66,50,4,92,3,85,16,88,90,116010,True,84,86,83,60,2,80,85,2216,78,93,Guro,28499,86,65,12,LM,0,81,16,82,2,25,fifa-23-womens-sep30-2,18,CAM,-1,16,13134,73,79,Chelsea,227323
10/19/1995 0:00,Zinsberger,43,25,12,2023,62,63,20,177,15,13,33,4,published,1,19,16,90,18,Zinsberger,36993,England Barclays WSL (1),26,88,39,6,Manuela Zinsberger,81,27,86,88,54,78,1,22,4,36,77,45,88,116009,True,90,89,84,67,1,24,70,2216,77,46,Manuela,36993,56,83,84,GK,0,11,0,11,0,-1,fifa-23-womens-sep30-2,-1,,-1,88,21689,10,23,Arsenal,265242
11/9/2000 0:00,Bacha,79,67,49,2025,87,92,77,161,77,83,93,18,published,1,87,85,14,64,Bacha,2978,France Division 1 Feminine (1),70,9,84,58,Selma Bacha,81,27,86,76,49,71,3,93,3,83,14,93,88,116033,True,83,93,84,58,2,64,79,2218,70,94,Selma,2978,81,70,6,LB,2,80,7,82,2,-1,fifa-23-womens-sep30-2,27,LW,-1,14,30606,81,88,Olympique Lyonnais,265674
2/15/1995 0:00,Dabritz,74,87,69,2025,67,83,77,171,86,78,78,21,published,1,81,68,16,85,Dabritz,9466,France Division 1 Feminine (1),53,11,79,49,Sara Dabritz,83,27,86,73,72,78,4,82,5,90,14,84,81,116033,True,88,87,85,63,2,74,88,2218,84,86,Sara,9466,80,55,16,CM,0,90,14,85,0,-1,fifa-23-womens-sep30-2,-1,,-1,13,30158,81,89,Olympique Lyonnais,227327
12/29/1988 0:00,Press,45,87,80,2022,74,86,42,170,71,44,75,95,published,1,78,26,11,88,Press,27512,International Women,62,11,85,84,Christen Press,84,27,86,73,82,73,4,81,3,90,14,84,85,113009,True,87,86,77,58,1,62,71,2136,87,88,Christen,27512,80,69,9,ST,1,88,25,87,2,-1,fifa-23-womens-sep30-2,27,LW,-1,15,6681,43,86,United States Women,226327
10/4/1999 0:00,Macario,53,90,74,2023,84,82,48,165,77,55,79,95,published,1,85,43,13,84,Cantanhede Macario,5746,France Division 1 Feminine (1),70,7,83,72,Catarina Cantanhede Macario,81,27,86,73,80,71,4,79,3,93,7,87,85,116033,True,89,94,82,58,1,82,85,2218,84,83,Catarina,21111,88,68,14,CAM,0,90,18,82,2,-1,fifa-23-womens-sep30-2,25,ST,-1,12,6077,51,83,Olympique Lyonnais,262330
11/15/1992 0:00,Harder,26,76,73,2023,78,77,19,169,81,22,78,13,published,1,70,23,6,79,Harder,13687,England Barclays WSL (1),66,13,89,76,Pernille Harder,86,27,86,77,85,81,4,78,4,88,6,87,88,116010,True,89,86,81,60,1,73,84,2216,78,84,Pernille,13687,90,78,8,CAM,0,92,18,87,2,25,fifa-23-womens-sep30-2,27,LW,-1,12,26881,21,85,Chelsea,259287
5/26/1994 0:00,Horan,63,88,80,2023,66,89,59,175,90,60,79,95,published,1,68,49,11,86,Horan,14410,France Division 1 Feminine (1),63,9,79,89,Lindsey Horan,89,27,86,79,75,81,4,89,3,87,15,80,79,116033,True,84,86,86,67,1,74,88,2218,86,79,Lindsey,14410,76,79,13,CM,0,85,14,89,2,-1,fifa-23-womens-sep30-2,-1,,-1,7,20098,69,91,Olympique Lyonnais,231432
1/25/1991 0:00,Huth,57,60,74,2024,95,70,40,163,78,65,86,21,published,1,78,66,10,78,Huth,14674,International Women,42,12,84,48,Svenja Huth,88,27,86,59,77,49,4,90,5,83,10,88,86,113004,True,86,86,84,54,1,67,86,2136,73,90,Svenja,14674,79,71,7,RM,0,87,12,81,0,16,fifa-23-womens-sep30-2,25,ST,-1,17,32413,71,87,Germany Women,227337
6/29/1993 0:00,Kirby,45,89,88,2023,93,87,45,157,62,45,63,14,published,1,48,39,16,89,Kirby,18201,England Barclays WSL (1),45,16,89,72,Fran Kirby,89,27,86,56,77,54,4,67,3,90,9,91,90,116010,True,90,86,71,52,1,65,69,2216,88,91,Fran,18201,84,72,12,ST,0,91,25,90,2,23,fifa-23-womens-sep30-2,18,CAM,-1,13,11330,35,85,Chelsea,227255
5/14/1995 0:00,Lavelle,46,84,50,2025,81,74,41,163,86,48,69,95,published,1,49,53,10,81,Lavelle,19469,International Women,63,11,79,44,Rose Lavelle,87,27,86,60,61,52,4,73,3,88,8,80,79,113009,True,87,87,81,56,2,60,85,2136,78,80,Rose,19469,72,60,13,CAM,0,90,18,82,0,-1,fifa-23-womens-sep30-2,14,CM,-1,16,29196,50,91,United States Women,232075
12/19/2001 0:00,Oberdorf,87,60,57,2025,78,75,84,174,81,90,62,21,published,1,59,92,11,72,Oberdorf,25381,International Women,91,11,70,80,Lena Oberdorf,85,27,86,83,53,81,3,80,3,81,14,71,70,113004,True,76,93,76,68,1,55,81,2136,69,71,Lena,25381,81,76,9,CDM,0,71,10,72,0,-1,fifa-23-womens-sep30-2,5,CB,-1,14,19765,87,85,Germany Women,248717
1/18/1998 0:00,Aitana,70,87,62,2025,81,63,69,161,86,71,67,45,published,1,76,62,14,89,Bonmati Conca,4566,International Women,42,12,82,61,Aitana Bonmati Conca,83,27,86,64,70,64,4,80,4,90,15,81,82,113012,True,86,92,83,51,1,67,91,2136,81,75,Aitana,805,83,73,11,CM,0,88,14,86,2,-1,fifa-23-womens-sep30-2,12,RM,-1,9,805,77,90,Spain Women,241667
6/16/1997 0:00,Dudek,90,35,39,2024,66,59,91,169,74,92,45,37,published,1,62,87,14,42,Dudek,9291,France Division 1 Feminine (1),88,15,72,89,Paulina Dudek,83,27,86,78,66,76,2,70,2,76,11,62,68,116034,True,71,90,65,62,2,41,53,2218,45,61,Paulina,9291,73,90,13,CB,0,68,5,49,0,-1,fifa-23-womens-sep30-2,-1,,-1,14,26547,87,82,Paris Saint-Germain,264884
1/26/1996 0:00,Karchaoui,81,55,59,2024,85,65,81,160,78,84,90,18,published,1,79,79,10,50,Karchaoui,17535,France Division 1 Feminine (1),70,14,87,61,Sakina Karchaoui,84,27,86,59,53,41,4,86,4,89,14,93,90,116034,True,87,89,82,55,2,67,73,2218,56,90,Sakina,17535,82,62,16,LB,0,85,7,69,2,-1,fifa-23-womens-sep30-2,-1,,-1,9,29775,86,88,Paris Saint-Germain,233662
1/25/1993 0:00,Majri,83,71,62,2026,84,77,84,164,77,85,92,18,published,1,89,83,10,79,Majri,21394,France Division 1 Feminine (1),79,14,80,74,Amel Majri,86,27,86,78,73,78,5,77,3,89,16,84,82,116033,True,88,86,86,54,2,84,82,2218,76,88,Amel,21394,83,76,12,LW,2,89,27,84,2,-1,fifa-23-womens-sep30-2,14,CM,-1,10,1698,84,89,Olympique Lyonnais,227350
4/20/1988 0:00,Naeher,44,14,12,2027,56,60,18,175,38,19,17,95,published,1,14,20,89,13,Naeher,24348,International Women,28,85,46,16,Alyssa Naeher,81,43,85,85,42,43,1,45,2,15,78,43,87,113009,True,89,85,80,64,1,15,14,2136,78,61,Alyssa,24348,49,66,80,GK,0,16,0,13,0,-1,fifa-23-womens-sep30-2,-1,,-1,87,1635,23,23,United States Women,226335
7/5/1985 0:00,Rapinoe,49,85,70,2027,68,80,46,170,82,46,88,95,published,1,91,48,11,89,Rapinoe,28258,International Women,67,14,66,76,Megan Rapinoe,86,43,85,64,92,65,4,59,4,90,12,62,64,113009,True,87,85,86,60,1,88,85,2136,86,77,Megan,28258,91,73,14,CAM,1,88,18,88,2,-1,fifa-23-womens-sep30-2,27,LW,-1,15,22678,47,87,United States Women,226328
8/10/2000 0:00,Smith,41,83,75,2024,90,82,38,168,62,42,73,95,published,1,74,38,6,88,Smith,31555,International Women,65,13,86,49,Sophia Smith,90,43,85,71,67,70,4,79,3,90,13,84,85,113009,True,87,94,71,58,1,60,80,2136,84,89,Sophia,31555,68,56,13,RW,0,87,23,90,2,-1,fifa-23-womens-sep30-2,25,ST,-1,12,31750,43,71,United States Women,264012
2/26/1995 0:00,Mbock,87,48,44,2024,53,73,86,172,78,91,59,18,published,1,52,83,15,49,Mbock,22467,France Division 1 Feminine (1),86,12,76,89,Griedge Mbock,82,43,85,85,65,89,2,78,3,75,16,65,71,116033,True,67,88,67,68,1,42,50,2218,54,60,Griedge,22467,79,83,12,CB,2,62,5,53,2,-1,fifa-23-womens-sep30-2,10,CDM,-1,7,12831,82,81,Olympique Lyonnais,227346
2/17/1995 0:00,Campbell,43,14,12,2025,55,65,12,175,37,18,17,95,published,1,14,19,83,13,Campbell,5690,International Women,29,86,44,17,Jane Campbell,81,43,85,86,42,42,1,45,2,20,83,42,84,113009,True,83,87,86,66,1,15,45,2136,83,58,Jane,5690,68,64,86,GK,0,16,0,14,0,-1,fifa-23-womens-sep30-2,-1,,-1,84,15822,22,22,United States Women,238212
2/5/1997 0:00,Cascarino,37,76,70,2024,94,80,39,167,76,39,83,18,published,1,75,30,11,72,Cascarino,5997,France Division 1 Feminine (1),41,15,94,36,Delphine Cascarino,79,43,85,57,67,55,4,76,2,89,16,95,94,116033,True,88,88,80,58,1,57,80,2218,75,93,Delphine,5997,79,49,12,RW,0,88,23,83,2,-1,fifa-23-womens-sep30-2,-1,,-1,14,8354,35,83,Olympique Lyonnais,232202
6/6/1985 0:00,Sauerbrunn,87,34,28,2027,69,47,89,170,62,87,65,95,published,1,41,89,11,35,Sauerbrunn,30246,International Women,88,10,72,81,Becky Sauerbrunn,87,43,85,85,56,87,2,78,2,68,12,72,72,113009,True,63,85,62,64,1,29,45,2136,39,51,Becky,30246,89,86,7,CB,2,56,5,47,1,-1,fifa-23-womens-sep30-2,-1,,-1,15,3621,87,78,United States Women,226177
11/28/1997 0:00,Mateo,56,86,79,2025,78,81,56,168,80,54,74,18,published,1,73,44,16,86,Mateo,22197,France Division 1 Feminine (1),60,17,85,73,Clara Mateo,82,43,85,72,72,66,4,92,3,88,11,80,83,116035,True,85,90,81,60,1,74,84,2218,84,77,Clara,22197,84,82,9,RM,2,86,12,90,2,-1,fifa-23-womens-sep30-2,25,ST,-1,11,6833,56,86,Paris FC,245697
4/29/1998 0:00,Pugh,33,79,70,2025,92,75,24,163,64,28,79,95,published,1,67,25,17,87,Pugh,27617,International Women,70,16,87,67,Mallory Pugh,86,43,85,60,75,48,4,74,3,88,11,87,87,113009,True,85,91,77,54,1,67,85,2136,81,81,Mallory,27617,72,63,15,LW,0,85,27,85,2,18,fifa-23-womens-sep30-2,23,RW,-1,12,21520,43,81,United States Women,232073
4/22/1997 0:00,Roord,53,90,80,2024,70,86,59,175,77,46,85,34,published,1,77,34,10,86,Roord,29173,International Women,44,9,77,67,Jill Roord,89,43,85,67,78,72,4,76,4,87,14,77,77,113011,True,84,88,84,63,1,77,85,2136,86,74,Jill,29173,82,56,13,CAM,0,85,18,86,2,23,fifa-23-womens-sep30-2,14,CM,-1,11,16303,57,87,Holland Women,240714
8/25/1996 0:00,Waßmuth,30,83,72,2025,72,84,28,170,68,24,80,21,published,1,69,20,12,89,Waßmuth,35353,International Women,65,6,83,75,Tabea Waßmuth,88,43,85,70,70,67,4,80,4,86,10,85,84,113004,True,81,86,81,62,1,60,87,2136,85,76,Tabea,35353,76,69,9,RM,0,80,12,86,0,-1,fifa-23-womens-sep30-2,-1,,-1,6,32632,22,87,Germany Women,262058
3/29/1997 0:00,Williamson,86,46,45,2023,73,48,90,170,92,84,60,14,published,1,60,82,8,46,Williamson,35603,England Barclays WSL (1),80,9,79,85,Leah Williamson,90,43,85,76,52,77,3,67,3,83,13,79,79,116009,True,73,90,76,57,1,69,65,2216,46,68,Leah,35603,84,89,11,CB,0,64,5,31,2,-1,fifa-23-womens-sep30-2,10,CDM,-1,13,19542,86,88,Arsenal,246426
6/10/1999 0:00,O.Battle,84,40,46,2023,85,53,84,165,75,89,80,45,published,1,77,86,5,51,Batlle Pascual,3505,England Barclays WSL (1),72,14,80,66,Ona Batlle Pascual,81,43,85,72,51,62,3,90,4,76,8,85,82,116012,True,80,92,78,53,1,50,66,2216,49,84,Ona,25348,69,74,15,RB,2,82,3,60,2,-1,fifa-23-womens-sep30-2,7,LB,-1,13,25736,82,90,Manchester United,253436
11/5/1995 0:00,Buchanan,87,40,46,2025,63,63,92,170,71,86,26,70,published,1,26,88,17,31,Buchanan,5179,England Barclays WSL (1),85,10,78,82,Kadeisha Buchanan,75,43,85,86,45,90,2,79,3,70,17,68,74,116010,True,64,88,53,65,1,29,47,2216,41,63,Kadeisha,5179,80,93,9,CB,2,58,5,46,0,-1,fifa-23-womens-sep30-2,-1,,-1,13,17231,85,71,Chelsea,227383
5/17/1998 0:00,Patri,77,87,58,2024,79,78,77,170,93,81,69,45,published,1,45,71,17,85,Guijarro Gutierrez,13023,International Women,51,17,73,76,Patricia Guijarro Gutierrez,88,43,85,66,75,66,4,77,3,85,8,69,71,113012,True,82,92,81,64,1,66,89,2136,82,71,Patricia,26497,73,72,9,CM,0,84,14,78,2,-1,fifa-23-womens-sep30-2,10,CDM,-1,14,26501,76,86,Spain Women,237289
11/24/1993 0:00,Rolfö,67,84,81,2023,73,85,65,178,75,66,81,46,published,1,74,65,9,87,Rolfö,29083,International Women,50,14,83,79,Fridolina Rolfö,86,43,85,74,77,84,4,78,4,89,11,83,83,113008,True,86,85,82,65,2,63,86,2136,85,77,Fridolina,29083,81,58,16,LW,2,87,27,84,2,7,fifa-23-womens-sep30-2,23,RW,-1,7,11473,65,88,Sweden Women,227013
4/28/2000 0:00,Carpenter,82,48,42,2026,78,68,79,165,85,87,88,195,published,1,71,83,14,45,Carpenter,5930,France Division 1 Feminine (1),78,11,84,68,Ellie Carpenter,82,59,84,78,43,79,3,74,3,80,17,86,85,116033,True,77,90,78,60,1,41,65,2218,51,70,Ellie,5930,84,78,15,RB,1,76,3,60,2,-1,fifa-23-womens-sep30-2,-1,,-1,9,9949,83,84,Olympique Lyonnais,240030
6/14/1993 0:00,Corboz,68,85,61,2025,86,85,69,157,86,73,79,18,published,1,72,58,12,76,Corboz,7114,France Division 1 Feminine (1),60,8,66,43,Daphne Corboz,80,59,84,67,71,65,3,83,4,84,8,65,66,116035,True,81,84,85,54,1,70,89,2218,79,70,Daphne,7114,79,42,5,CM,0,82,14,83,2,10,fifa-23-womens-sep30-2,18,CAM,-1,12,7960,77,89,Paris FC,264963
9/8/1993 0:00,Eriksson,86,44,50,2023,74,56,90,173,79,85,77,46,published,1,61,81,9,48,Eriksson,10218,England Barclays WSL (1),84,10,69,89,Magdalena Eriksson,87,59,84,79,57,78,2,77,3,80,17,70,69,116010,True,72,84,73,66,2,60,59,2216,50,72,Magdalena,10218,85,88,12,CB,2,63,5,67,0,-1,fifa-23-womens-sep30-2,7,LB,-1,7,21240,80,80,Chelsea,226998
7/2/1999 0:00,Gwinn,81,65,65,2025,85,62,82,172,81,81,83,21,published,1,78,78,5,74,Gwinn,13206,International Women,67,15,85,80,Giulia Gwinn,82,59,84,68,61,62,3,81,3,83,8,87,86,113004,True,85,90,80,58,1,49,79,2136,69,88,Giulia,13206,76,67,10,RB,2,88,3,83,2,-1,fifa-23-womens-sep30-2,12,RM,-1,5,12401,79,83,Germany Women,247788
